Time,Close,High,Low,Open,Volume
2005/1/4,982.79,994.77,980.66,994.77,741286900
2005/1/5,992.56,997.32,979.88,981.58,711910900
2005/1/6,983.17,993.79,980.33,993.33,628802900
2005/1/7,983.96,995.71,979.81,983.05,729869400
2005/1/10,993.88,993.96,979.79,983.76,579169800
2005/1/11,997.14,999.55,991.09,994.19,584908000
2005/1/12,996.75,996.98,989.26,996.65,501452500
2005/1/13,996.88,999.47,992.7,996.08,604406600
2005/1/14,988.31,1006.46,987.23,996.62,729784200
2005/1/17,967.45,981.53,965.08,979.11,728818900
2005/1/18,974.69,974.87,960.29,967.37,731184800
2005/1/19,967.21,974.33,965.26,974.33,633809100
2005/1/20,956.25,963.21,952.23,963.21,772710600
2005/1/21,982.6,984.27,943.44,954.46,1445006000
2005/1/24,998.13,1001.85,986.24,1001.85,1435946200
2005/1/25,997.78,997.95,985.24,995.64,986252900
2005/1/26,989.93,999.47,988.48,995.78,766329000
2005/1/27,974.63,987.7,973.77,987.34,694536500
2005/1/28,969.21,975.62,965.21,974.63,574880700
2005/1/31,954.88,965.79,953.14,965.79,678870600
2005/2/1,955.95,965.48,952.74,953.33,743306700
2005/2/2,1006.91,1006.93,956.7,956.7,1705733800
2005/2/3,993.22,1014.19,992.16,1005.56,1697454000
2005/2/4,1016.86,1021.03,989.94,992.25,1573621500
2005/2/16,1023.58,1033.25,1018.49,1023.32,1213129300
2005/2/17,1020.61,1024.43,1010.48,1024.43,896829800
2005/2/18,1006.06,1021.2,1005.63,1020.12,813993900
2005/2/21,1025.63,1025.66,1006.69,1006.69,988609400
2005/2/22,1046.74,1048.68,1024.53,1026.84,1793784200
2005/2/23,1043.94,1049.61,1036.63,1046.81,1869693000
2005/2/24,1045.46,1045.96,1034.73,1042.25,1468178900
2005/2/25,1046.76,1059.48,1045.98,1046.27,1817000400
2005/2/28,1039.99,1048.28,1035.04,1046.21,1297104600
2005/3/1,1035.93,1042.74,1031.17,1039.35,996209000
2005/3/2,1021.32,1045.76,1021,1036.37,1422513600
2005/3/3,1027.71,1028.4,1014.75,1019.88,920308600
2005/3/4,1023.67,1031.85,1022.18,1027.93,817364100
2005/3/7,1029.87,1031.34,1024.48,1024.48,793295000
2005/3/8,1048.99,1049.29,1032.85,1033.79,1429579400
2005/3/9,1046.54,1054.64,1041.98,1051.26,1532748800
2005/3/10,1022.41,1046.69,1019.63,1046.69,1329595300
2005/3/11,1027.43,1028.12,1016.93,1021.08,1147638100
2005/3/14,1031.03,1041.57,1014.93,1027.18,1446608900
2005/3/15,1013.52,1030.94,1011.64,1030.86,1200749300
2005/3/16,1003.07,1012.2,995.97,1011.85,1062278300
2005/3/17,992.86,1004.82,992.12,1001.97,996901100
2005/3/18,978.67,996.4,975.71,991.89,965206000
2005/3/21,981.89,983.18,973,977.3,725256500
2005/3/22,964.02,982.14,959.56,981.71,1137571700
2005/3/23,959.01,975.36,955.99,962.82,1093005400
2005/3/24,964.8,965.06,948.53,957.43,926071500
2005/3/25,962.96,966.97,959.06,964.25,710732300
2005/3/28,960.7,961.65,948.81,961.65,666924600
2005/3/29,955.19,968.12,954.74,960.42,757737900
2005/3/30,937.03,952.71,936.38,952.71,895016400
2005/3/31,942.2,942.37,928.34,934.85,785944600
2005/4/1,978.15,989.9,937.55,941.43,1634750500
2005/4/4,962.17,974.06,956.13,968.49,1143509300
2005/4/5,955.6,967.75,953.59,960.54,953453700
2005/4/6,973.67,977.86,948.95,955.6,1428242100
2005/4/7,984.73,1000.27,974.31,975.97,2075421200
2005/4/8,1003.445,1003.699,979.529,984.665,1476252600
2005/4/11,995.421,1008.735,992.773,1003.879,1593606600
2005/4/12,978.697,993.711,978.204,993.711,1022619300
2005/4/13,1000.9,1006.499,987.95,987.95,1607168700
2005/4/14,986.975,1006.416,985.578,1004.64,1294571000
2005/4/15,974.082,982.613,971.93,982.613,1040895500
2005/4/18,963.772,970.907,958.649,970.907,859840000
2005/4/19,965.886,968.867,957.91,962.916,921262300
2005/4/20,950.867,964.151,946.197,964.151,885070500
2005/4/21,943.981,955.553,938.595,948.861,994614500
2005/4/22,939.101,947.909,934.957,942.908,1069188400
2005/4/25,930.07,935.993,920.162,935.993,1147047800
2005/4/26,937.083,939.696,924.655,928.428,1169047100
2005/4/27,926.604,938.91,925.896,938.57,1078061100
2005/4/28,942.073,945.504,914.829,923.529,1434348600
2005/4/29,932.395,942.453,929.81,940.806,1123541900
2005/5/9,909.174,937.39,909.174,934.65,852911500
2005/5/10,913.076,913.388,892.313,905.543,1049433100
2005/5/11,901.851,917.223,900.438,911.838,904204700
2005/5/12,885.82,900.063,883.511,899.968,1022872000
2005/5/13,887.543,898.505,875.576,883.505,1124490600
2005/5/16,875.271,885.389,869.334,885.389,822428800
